Pixel_ID,Row,Col,Area,B1(Coastal Aerosol (B1)),B2(Blue (B2)),B3(Green (B3)),B4(Red (B4)),B5(RE1 (B5)),B6(RE2 (B6)),B7(RE3 (B7)),B8(NIR (B8)),B9(RE4 (B8A)),B10(Water Vapor (B9)),B11(SWIR1 (B11)),B12(SWIR2 (B12)),B13(NDVI),B14(MNDWI),B15(NDWI),B16(EVI),B17(SABI),B18(GNDVI),B19(NDAVI),B20(AWEI),B21(BATHYMETRY),Label,Kategori_Detail,Kategori,Prediksi_Kelas,Prediksi_Label,Confidence_Lamun,Confidence_NonLamun,Confidence_Max
19,0,18,Lainnya,0.0423000007867813,0.0540000014007091,0.0803999975323677,0.0961999967694282,0.1462000012397766,0.2267999947071075,0.264299988746643,0.2996000051498413,0.3077999949455261,0.316100001335144,0.2730999886989593,0.1536999940872192,0.5106186270713806,-0.5416313409805298,-0.5276381969451904,0.346299797296524,1.33898305892944e+16,0.5276381969451904,0.6625999212265015,-123722505569458.0,0.685230016708374,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
20,0,19,Lainnya,0.045499999076128,0.050500001758337,0.0727000012993812,0.0821999981999397,0.1397999972105026,0.2175000011920929,0.2535000145435333,0.2544000148773193,0.3025000095367431,0.3084999918937683,0.2621999979019165,0.1428000032901764,0.4853963851928711,-0.541786789894104,-0.5400788187980652,0.3180044591426849,1.2593857049942e+16,0.5400788187980652,0.6484067440032959,-1.20982491970062e+16,0.6870748996734619,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
21,0,20,Lainnya,0.045499999076128,0.0469000004231929,0.0672999992966651,0.0678000003099441,0.1389999985694885,0.2217999994754791,0.2535000145435333,0.2497999966144561,0.294400006532669,0.3084999918937683,0.2538000047206878,0.1368999928236007,0.5588822364807129,-0.5493773818016052,-0.5651050209999084,0.3491160869598388,1.43926060199737e+16,0.5651050209999084,0.6848695874214172,-1.19287502765655e+16,0.6744186282157898,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
22,0,21,Lainnya,0.045499999076128,0.05180000141263,0.0772999972105026,0.0768000036478042,0.1425999999046325,0.2275000065565109,0.2596000134944916,0.2648000121116638,0.2951000034809112,0.3084999918937683,0.2421000003814697,0.1369999945163726,0.570015013217926,-0.5041813254356384,-0.5475168824195862,0.3540036976337433,1.35688018798828e+16,0.5475168824195862,0.6457250714302063,-1092400074005120.0,0.6925134062767029,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
23,0,22,Lainnya,0.045499999076128,0.0612999983131885,0.0790999978780746,0.069700002670288,0.1327999979257583,0.2401999980211258,0.2716000080108642,0.2750000059604645,0.3021000027656555,0.3084999918937683,0.230100005865097,0.1369999945163726,0.5637426972389221,-0.4647985994815826,-0.5302261114120483,0.3692290782928467,1.30534863471984e+16,0.5302261114120483,0.6183486580848694,-1.05187499523162e+16,0.7402423024177551,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
24,0,23,Lainnya,0.045499999076128,0.0432000011205673,0.068800002336502,0.050500001758337,0.1292999982833862,0.241699993610382,0.2815000116825104,0.3043999969959259,0.3030000030994415,0.3084999918937683,0.2162999957799911,0.1181000024080276,0.699286699295044,-0.5005202889442444,-0.6282121539115906,0.4679413735866546,2.19962859153747e+16,0.6282121539115906,0.7437357306480408,-0.9994000196456908,0.6181434392929077,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
25,0,24,Lainnya,0.045899998396635,0.0381000004708766,0.0630000010132789,0.0467000007629394,0.123099997639656,0.241699993610382,0.2847999930381775,0.2964000105857849,0.3030999898910522,0.3183999955654144,0.2013999968767166,0.1173999980092048,0.710326611995697,-0.5089820027351379,-0.625806450843811,0.4535373747348785,2298387050628660.0,0.625806450843811,0.7726737260818481,-0.9663000106811525,0.5826446413993835,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
26,0,25,Lainnya,0.047699999064207,0.0423999987542629,0.0636999979615211,0.0586000010371208,0.1209999993443489,0.2366999983787536,0.2782000005245209,0.2788000106811523,0.303299993276596,0.3222000002861023,0.1888000071048736,0.1123000010848045,0.6369529962539673,-0.49544557929039,-0.6111652255058289,0.4020830392837524,1.94715118408203e+16,0.6111652255058289,0.7242770791053772,-0.912950038909912,0.662840723991394,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
27,0,26,Lainnya,0.047699999064207,0.0476000010967254,0.0754000023007392,0.0712999999523162,0.1221000030636787,0.2348999977111816,0.2775999903678894,0.2863999903202057,0.303299993276596,0.3222000002861023,0.1858000010251999,0.1093000024557113,0.601762592792511,-0.4281510710716247,-0.5825850367546082,0.3533846139907837,1605437159538260.0,0.5825850367546082,0.6988416910171509,-0.7912500500679016,0.6564986705780029,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
28,0,27,Lainnya,0.047699999064207,0.0456000007688999,0.0645999982953071,0.0573999993503093,0.1046999990940094,0.2357999980449676,0.271699994802475,0.255400002002716,0.3104000091552734,0.3222000002861023,0.1852000057697296,0.1020999997854232,0.6448717713356018,-0.4794303774833679,-0.6163021922111511,0.3774490356445312,1.76798570156097e+16,0.6163021922111511,0.6955941319465637,-0.8119750618934631,0.7128571271896362,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.01,0.99,0.99
