Pixel_ID,Row,Col,Area,B1(Coastal Aerosol),B2(Blue),B3(Green),B4(Red),B5(NIR),B6(SWIR1),B7(SWIR2),B8(NDVI),B9(MNDWI),B10(NDWI),B11(EVI),B12(SABI),B13(GNDVI),B14(NDAVI),B15(AWEI),B16(BATHYMETRY),Label,Kategori_Detail,Kategori,Prediksi_Kelas,Prediksi_Label,Confidence_Lamun,Confidence_NonLamun,Confidence_Max
11,0,10,Lainnya,0.0221449993550777,0.0295975003391504,0.0608924999833107,0.0432925000786781,0.3941375017166137,0.1816174983978271,0.0893824994564056,0.7669634222984314,-0.5194237232208252,-0.7417469024658203,0.5359447002410889,4023933410644530.0,0.7417469024658203,0.8664898872375488,-0.850783109664917,0.4616763889789581,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.295,0.705,0.705
12,0,11,Lainnya,0.0552549995481967,0.0627074986696243,0.1021699979901313,0.1068174988031387,0.3821200132369995,0.246132493019104,0.1540350019931793,0.5630627870559692,-0.4213345646858215,-0.584812581539154,0.4432587921619415,1.6596735715866e+16,0.584812581539154,0.7313825488090515,-1.0949763059616e+16,0.5871816873550415,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.235,0.765,0.765
13,0,12,Lainnya,0.0455475002527236,0.0561624988913536,0.0912524983286857,0.089767500758171,0.380854994058609,0.2398349940776825,0.1432825028896331,0.6185159087181091,-0.461553156375885,-0.6141098141670227,0.4639959931373596,1.96130776405334e+16,0.6141098141670227,0.7429736852645874,-1.08357059955596e+16,0.6087911128997803,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.19,0.81,0.81
14,0,13,Lainnya,0.0246750004589557,0.0279750004410743,0.0596274994313716,0.0459325015544891,0.3784075081348419,0.181425005197525,0.0869624987244606,0.7828758955001831,-0.5149418711662292,-0.7299060821533203,0.5762847065925598,3.78254008293151e+16,0.7299060821533203,0.8579539656639099,-0.820938766002655,0.4614242613315582,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.295,0.705,0.705
15,0,14,Lainnya,0.0218150001019239,0.0220899991691112,0.0573999993503093,0.0356200002133846,0.394192487001419,0.1715524941682815,0.0715624988079071,0.8118225336074829,-0.5066087245941162,-0.7428341507911682,0.6287282705307007,4190623760223380.0,0.7428341507911682,0.8822333216667175,-0.7529862523078918,0.4311248958110809,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.33,0.67,0.67
16,0,15,Lainnya,0.0219525005668401,0.0276724994182586,0.0650449991226196,0.0438150018453598,0.3835499882698059,0.1760074943304062,0.079647496342659,0.766264796257019,-0.4763405323028564,-0.7100057005882263,0.5847383141517639,3.49822354316711e+16,0.7100057005882263,0.8606795072555542,-0.7587681412696838,0.4565345644950866,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.29,0.71,0.71
17,0,16,Lainnya,0.0228049997240304,0.0307525005191564,0.0696924999356269,0.0540999993681907,0.3527500033378601,0.18851999938488,0.089767500758171,0.7347636818885803,-0.4912421405315399,-0.6761913895606995,0.5258486866950989,3.05820035934448e+16,0.6761913895606995,0.8437714576721191,-0.815301239490509,0.4557729661464691,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.295,0.705,0.705
18,0,17,Lainnya,0.0309174992144107,0.0364174991846084,0.0625699982047081,0.0550899989902973,0.3226925134658813,0.1838449984788894,0.095047503709793,0.704304039478302,-0.5000234842300415,-0.6707643270492554,0.485281378030777,2.62020754814147e+16,0.6707643270492554,0.8158693313598633,-0.8172399997711182,0.5392788648605347,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.255,0.745,0.745
19,0,18,Lainnya,0.0503875017166137,0.060342501848936,0.08712749928236,0.1046174988150596,0.3315199911594391,0.2580949962139129,0.1568125039339065,0.5527422428131104,-0.4829984605312347,-0.5891950726509094,0.3718943893909454,1.74164819717407e+16,0.5891950726509094,0.7150580883026123,-1.20370435714721e+16,0.6847181916236877,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.145,0.855,0.855
20,0,19,Lainnya,0.0461249984800815,0.0504424981772899,0.0756599977612495,0.0705175027251243,0.3463149964809418,0.2442349940538406,0.127250000834465,0.6620965003967285,-0.4706376791000366,-0.6414005756378174,0.4672823250293731,2.2223732471466e+16,0.6414005756378174,0.7327408194541931,-1.00501000881195e+16,0.6333725452423096,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.205,0.795,0.795
