Pixel_ID;Row;Col;Area;B1(Coastal Aerosol);B2(Blue);B3(Green);B4(Red);B5(NIR);B6(SWIR1);B7(SWIR2);B8(NDVI);B9(MNDWI);B10(NDWI);B11(EVI);B12(SABI);B13(GNDVI);B14(NDAVI);B15(AWEI);B16(BATHYMETRY);Label;Kategori_Detail;Kategori
133;3;18;Lainnya;0.1625874936580658;0.20392000675201416;0.2685999870300293;0.2521274983882904;0.18222250044345856;0.06851000338792801;0.03295249864459038;-0.10844764113426208;0.5364015698432922;0.13960234820842743;-0.10914267599582672;-0.11114339530467987;-0.13960234820842743;-0.020781399682164192;0.4979749917984009;0.7516263723373413;1;Lamun;Lamun
178;4;25;Lainnya;0.015462500043213367;0.02959750033915043;0.058389998972415924;0.031495001167058945;0.01384000014513731;0.01665874943137169;0.013303750194609165;-0.4464806318283081;0.5687223076820374;0.6202704906463623;-0.050215475261211395;-0.24750937521457672;-0.6202704906463623;-0.4256923198699951;0.13526031374931335;0.502526044845581;1;Lamun;Lamun
171;4;18;Lainnya;0.014156250283122063;0.027837499976158142;0.058775000274181366;0.037105001509189606;0.016672499477863312;0.02053624950349331;0.01657624915242195;-0.3869951069355011;0.4819779396057129;0.5607160329818726;-0.04948629066348076;-0.23372575640678406;-0.5607160329818726;-0.2597509026527405;0.10320218652486801;0.4668365716934204;1;Lamun;Lamun
355;9;12;Lainnya;0.0;0.0029325000941753387;0.023176249116659164;0.01129624992609024;0.0062362500466406345;0.014087500050663948;0.012134999968111515;-0.03331020101904869;0.14035667479038239;0.4468216598033905;-0.011228127405047417;0.09364721179008484;-0.4468216598033905;0.4051724076271057;0.001424687448889017;0.07895268499851227;1;Lamun;Lamun
349;9;6;Lainnya;0.06345000118017197;0.08949249982833862;0.14171500504016876;0.08643999695777893;0.02316249907016754;0.026462500914931297;0.018570000305771828;-0.7151859998703003;0.6743512749671936;0.78018718957901;-0.17365944385528564;-0.35648342967033386;-0.78018718957901;-0.6870825886726379;0.3978131115436554;0.7303205728530884;1;Lamun;Lamun
140;3;25;Lainnya;0.029803749173879623;0.044144999235868454;0.07549499720335007;0.04974124953150749;0.01997249945998192;0.017139999195933342;0.013124999590218067;-0.39339569211006165;0.6185940504074097;0.5538815855979919;-0.07673928141593933;-0.2483246922492981;-0.5538815855979919;-0.3629078269004822;0.1838768720626831;0.5941479206085205;1;Lamun;Lamun
240;6;11;Lainnya;0.11486124992370605;0.1503637433052063;0.20662875473499298;0.1798575073480606;0.10280250012874603;0.04833874851465225;0.028002500534057617;-0.27195364236831665;0.6193679571151733;0.3364701271057129;-0.1816774308681488;-0.2140868455171585;-0.3364701271057129;-0.18994607031345367;0.5304524898529053;0.7259827852249146;1;Lamun;Lamun
572;15;1;Lainnya;0.0;0.005810000002384186;0.05338500067591667;0.022585000842809677;0.0;0.013097500428557396;0.012849999591708183;-1.0;0.5811336040496826;1.0;-0.05170866474509239;-0.37519726157188416;-1.0;-1.0;0.12163250148296356;0.10683092474937439;1;Lamun;Lamun
241;6;12;Lainnya;0.049424998462200165;0.07418874651193619;0.11026874929666519;0.08214999735355377;0.029308749362826347;0.02558249980211258;0.01807500049471855;-0.4712827503681183;0.6175625324249268;0.5742772221565247;-0.137796550989151;-0.27867141366004944;-0.5742772221565247;-0.42996206879615784;0.28171154856681824;0.666432797908783;1;Lamun;Lamun
209;5;18;Lainnya;0.013042500242590904;0.024620000272989273;0.051762498915195465;0.03295249864459038;0.01634250022470951;0.020522499457001686;0.016177499666810036;-0.18734461069107056;0.3545876145362854;0.44988638162612915;-0.017366833984851837;-0.1393757164478302;-0.44988638162612915;0.16661563515663147;0.04162624850869179;0.4666192829608917;1;Lamun;Lamun
147;3;32;Lainnya;0.00725375022739172;0.019339999184012413;0.05239500105381012;0.030752500519156456;0.010938749648630619;0.013399999588727951;0.010870000347495079;-0.36443305015563965;0.546830952167511;0.611519992351532;-0.03444479778409004;-0.21033060550689697;-0.611519992351532;-0.2712158262729645;0.1018478125333786;0.40534311532974243;1;Lamun;Lamun
216;5;25;Lainnya;0.021251250058412552;0.037283748388290405;0.06558124721050262;0.037228748202323914;0.01619124971330166;0.018968749791383743;0.015833750367164612;-0.3750970959663391;0.5461055040359497;0.596464216709137;-0.06076415255665779;-0.21384964883327484;-0.596464216709137;-0.37919071316719055;0.13643936812877655;0.5388801693916321;0;Coral;Non_Lamun
273;7;6;Lainnya;0.1987224966287613;0.24951499700546265;0.3217574954032898;0.3509899973869324;0.5156325101852417;0.28798750042915344;0.15191750228405;0.18693803250789642;0.0383828766644001;-0.2475835084915161;0.22113893926143646;0.29322296380996704;0.2475835084915161;0.3477989435195923;-0.45472124218940735;0.7553503513336182;0;Pasir;Non_Lamun
604;15;33;Kanan_Bawah;0.0018225000239908695;0.005590000189840794;0.006579999811947346;0.0;0.004104999825358391;0.014472500421106815;0.013290000148117542;0.7203107476234436;-0.2713247835636139;0.23163312673568726;0.010748830623924732;0.28990113735198975;-0.23163312673568726;-0.23163312673568726;-0.06914374977350235;0.7221189737319946;0;Perairan;Non_Lamun
222;5;31;Lainnya;0.03002374991774559;0.047651249915361404;0.07951000332832336;0.04802250117063522;0.011567500419914722;0.013124999590218067;0.011420000344514847;-0.7582928538322449;0.6681058406829834;0.8131147027015686;-0.06841331720352173;-0.20879559218883514;-0.8131147027015686;-0.7500337362289429;0.19193874299526215;0.5771363377571106;0;Coral;Non_Lamun
409;10;28;Kanan_Bawah;0.0;0.005590000189840794;0.005452500190585852;0.0;0.0016987499548122287;0.014431250281631947;0.013592500239610672;1.0;-0.4597724676132202;0.20650732517242432;0.004385455511510372;0.14215442538261414;-0.20650732517242432;-0.20609237253665924;-0.07416937500238419;0.8441458940505981;0;Perairan;Non_Lamun
71;1;32;Lainnya;0.13188375532627106;0.1675100028514862;0.2163500040769577;0.18868499994277954;0.14086249470710754;0.050593748688697815;0.029542500153183937;-0.14556604623794556;0.623009979724884;0.21173036098480225;-0.11793027073144913;-0.12414145469665527;-0.21173036098480225;-0.08686055988073349;0.5071565508842468;0.7583303451538086;0;Pasir;Non_Lamun
