Pixel_ID;Row;Col;Label;Kategori;B1(Coastal Aerosol);B2(Blue);B3(Green);B4(Red);B5(NIR);B6(SWIR1);B7(SWIR2);B8(NDVI);B9(MNDWI);B10(NDWI);B11(EVI);B12(SABI);B13(GNDVI);B14(NDAVI);B15(AWEI);B16(BATHYMETRY)
347;9;4;0;Tidak Teridentifikasi;0.21420499682426453;0.2602125108242035;0.33605751395225525;0.3693599998950958;0.4447925090789795;0.15345749258995056;0.07018750160932541;0.09265156090259552;0.37302228808403015;-0.13925209641456604;0.11032280325889587;0.12629547715187073;0.13925209641456604;0.261813759803772;0.4261862635612488;0.7720121741294861
348;9;5;0;Tidak Teridentifikasi;0.14308999478816986;0.181535005569458;0.26095500588417053;0.22272999584674835;0.17012250423431396;0.07508250325918198;0.048820000141859055;-0.14703768491744995;0.5531302094459534;0.19916506111621857;-0.11364838480949402;-0.131741464138031;-0.19916506111621857;-0.03245345130562782;0.5564468502998352;0.7416356801986694
349;9;6;1;Lamun;0.06345000118017197;0.08949249982833862;0.14171500504016876;0.08643999695777893;0.02316249907016754;0.026462500914931297;0.018570000305771828;-0.7151859998703003;0.6743512749671936;0.78018718957901;-0.17365944385528564;-0.35648342967033386;-0.78018718957901;-0.6870825886726379;0.3978131115436554;0.7303205728530884
350;9;7;0;Tidak Teridentifikasi;0.023739999160170555;0.038040000945329666;0.07376249879598618;0.04692250117659569;0.01477499958127737;0.020467499271035194;0.01642500050365925;-0.42038747668266296;0.556047797203064;0.7756008505821228;-0.06838555634021759;-0.24622681736946106;-0.7756008505821228;-0.33036065101623535;0.16605687141418457;0.5088112354278564
351;9;8;0;Tidak Teridentifikasi;0.009852499701082706;0.024757500737905502;0.05929749831557274;0.03815000131726265;0.01642500050365925;0.020522499457001686;0.015490000136196613;-0.2511786222457886;0.4751080572605133;0.4439912438392639;-0.03656487166881561;-0.17494218051433563;-0.4439912438392639;-0.08838648349046707;0.10448437184095383;0.34791314601898193
352;9;9;0;Tidak Teridentifikasi;0.004008749965578318;0.019381249323487282;0.056437499821186066;0.0363212488591671;0.017194999381899834;0.020041249692440033;0.01601249910891056;-0.3643777370452881;0.47608715295791626;0.5367910861968994;-0.04387625306844711;-0.24936549365520477;-0.5367910861968994;-0.07083267718553543;0.09725187718868256;0.33747535943984985
353;9;10;0;Tidak Teridentifikasi;0.0;0.007803750224411488;0.03853499889373779;0.02273624949157238;0.013028750196099281;0.017909999936819077;0.014940000139176846;-0.2829103469848633;0.359657347202301;0.4919697642326355;-0.021994367241859436;-0.19649502635002136;-0.4919697642326355;0.2336307317018509;0.038157813251018524;0.20565977692604065
354;9;11;0;Tidak Teridentifikasi;0.0;0.006607499904930592;0.036637499928474426;0.020481249317526817;0.00982499960809946;0.015613749623298645;0.013303750194609165;-0.3450533449649811;0.3857722282409668;0.5581918358802795;-0.024618452414870262;-0.20235568284988403;-0.5581918358802795;0.17848017811775208;0.04505343735218048;0.16343310475349426
355;9;12;1;Lamun;0.0;0.0029325000941753387;0.023176249116659164;0.01129624992609024;0.0062362500466406345;0.014087500050663948;0.012134999968111515;-0.03331020101904869;0.14035667479038239;0.4468216598033905;-0.011228127405047417;0.09364721179008484;-0.4468216598033905;0.4051724076271057;0.001424687448889017;0.07895268499851227
356;9;13;0;Tidak Teridentifikasi;0.0;0.006424999795854092;0.029789999127388;0.015352499671280384;0.0044212499633431435;0.01363375037908554;0.0120662497356534;0.08177118003368378;0.19322963058948517;0.5662153363227844;-0.024554835632443428;0.04669300094246864;-0.5662153363227844;0.21538695693016052;0.0303374994546175;0.12483000010251999
