Stasiun;Tutupan;X;Y
1.5.4.Koral;Koral;120.444.863;-5.608.972
1.5.5.Koral;Koral;120.444.896;-5.608.972
1.5.6.Koral;Koral;120.444.923;-5.608.974
1.5.7.Koral;Koral;120.444.865;-5.608.999
1.5.8.Koral;Koral;120.444.891;-5.609.000
1.5.9.Koral;Koral;120.444.920;-5.609.004
2.1.1.Pasir;Pasir;120.443.247;-5.607.757
2.1.2.Pasir;Pasir;120.443.289;-5.607.755
2.1.3.Pasir;Pasir;120.443.331;-5.607.759
2.1.4.Pasir;Pasir;120.443.236;-5.607.806
2.1.5.Pasir;Pasir;120.443.276;-5.607.801
2.1.6.Pasir;Pasir;120.443.329;-5.607.805
2.1.7.Pasir;Pasir;120.443.232;-5.607.845
2.1.8.Pasir;Pasir;120.443.283;-5.607.846
2.1.9.Pasir;Pasir;120.443.331;-5.607.848
2.2.1.Lamun;Lamun;120.443.247;-5.607.998
2.2.2.Lamun;Lamun;120.443.289;-5.607.997
2.2.3.Lamun;Lamun;120.443.333;-5.608.000
2.2.4.Lamun;Lamun;120.443.332;-5.608.041
2.2.5.Lamun;Lamun;120.443.286;-5.608.041
2.2.6.Lamun;Lamun;120.443.246;-5.608.041
2.2.7.Lamun;Lamun;120.443.248;-5.608.085
2.2.8.Lamun;Lamun;120.443.287;-5.608.085
2.2.9.Lamun;Lamun;120.443.331;-5.608.085
2.3.1.Lamun;Lamun;120.443.234;-5.608.278
2.3.2.Lamun;Lamun;120.443.281;-5.608.281
2.3.3.Lamun;Lamun;120.443.314;-5.608.281
2.3.4.Lamun;Lamun;120.443.313;-5.608.322
2.3.5.Lamun;Lamun;120.443.279;-5.608.321
2.3.6.Lamun;Lamun;120.443.234;-5.608.321
2.3.7.Lamun;Lamun;120.443.237;-5.608.366
2.3.8.Lamun;Lamun;120.443.281;-5.608.366
2.3.9.Lamun;Lamun;120.443.313;-5.608.365
2.4.1.Lamun;Lamun;120.443.069;-5.608.550
2.4.2.Lamun;Lamun;120.443.104;-5.608.550
2.4.3.Lamun;Lamun;120.443.152;-5.608.550
2.4.4.Lamun;Lamun;120.443.150;-5.608.597
2.4.5.Lamun;Lamun;120.443.106;-5.608.597
2.4.6.Lamun;Lamun;120.443.070;-5.608.591
2.4.7.Lamun;Lamun;120.443.072;-5.608.633
2.4.8.Lamun;Lamun;120.443.110;-5.608.634
2.4.9.Lamun;Lamun;120.443.153;-5.608.635
2.5.1.Koral;Koral;120.443.066;-5.608.895
2.5.2.Koral;Koral;120.443.091;-5.608.893
2.5.3.Koral;Koral;120.443.112;-5.608.890
2.5.4.Koral;Koral;120.443.068;-5.608.916
2.5.5.Koral;Koral;120.443.089;-5.608.918
2.5.6.Koral;Koral;120.443.114;-5.608.918
2.5.7.Koral;Koral;120.443.066;-5.608.941
2.5.8.Koral;Koral;120.443.087;-5.608.939
2.5.9.Koral;Koral;120.443.114;-5.608.945
3.1.1.Pasir;Pasir;120.441.228;-5.608.102
3.1.2.Pasir;Pasir;120.441.264;-5.608.100
3.1.3.Pasir;Pasir;120.441.296;-5.608.102
3.1.4.Pasir;Pasir;120.441.224;-5.608.136
3.1.5.Pasir;Pasir;120.441.269;-5.608.134
3.1.6.Pasir;Pasir;120.441.302;-5.608.140
3.1.7.Pasir;Pasir;120.441.216;-5.608.170
3.1.8.Pasir;Pasir;120.441.268;-5.608.172
3.1.9.Pasir;Pasir;120.441.298;-5.608.172
3.2.1.Lamun;Lamun;120.441.273;-5.608.371
3.2.2.Lamun;Lamun;120.441.314;-5.608.373
3.2.3.Lamun;Lamun;120.441.355;-5.608.371
3.2.4.Lamun;Lamun;120.441.355;-5.608.405
3.2.5.Lamun;Lamun;120.441.315;-5.608.406
3.2.6.Lamun;Lamun;120.441.273;-5.608.407
3.2.7.Lamun;Lamun;120.441.272;-5.608.455
3.2.8.Lamun;Lamun;120.441.313;-5.608.455
3.2.9.Lamun;Lamun;120.441.356;-5.608.456
3.3.1.Lamun;Lamun;120.441.271;-5.608.537
3.3.2.Lamun;Lamun;120.441.310;-5.608.540
3.3.3.Lamun;Lamun;120.441.355;-5.608.539
3.3.4.Lamun;Lamun;120.441.354;-5.608.583
3.3.5.Lamun;Lamun;120.441.312;-5.608.583
3.3.6.Lamun;Lamun;120.441.271;-5.608.583
3.3.7.Lamun;Lamun;120.441.271;-5.608.627
3.3.8.Lamun;Lamun;120.441.311;-5.608.625
3.3.9.Lamun;Lamun;120.441.354;-5.608.624
3.4.1.Lamun;Lamun;120.441.259;-5.608.909
3.4.2.Lamun;Lamun;120.441.299;-5.608.911
3.4.3.Lamun;Lamun;120.441.340;-5.608.908
3.4.4.Lamun;Lamun;120.441.340;-5.608.951
3.4.5.Lamun;Lamun;120.441.305;-5.608.950
3.4.6.Lamun;Lamun;120.441.256;-5.608.951
3.4.7.Lamun;Lamun;120.441.261;-5.608.993
3.4.8.Lamun;Lamun;120.441.306;-5.608.995
3.4.9.Lamun;Lamun;120.441.340;-5.608.997
3.5.1.Lamun;Lamun;120.441.279;-5.609.166
3.5.2.Lamun;Lamun;120.441.316;-5.609.167
3.5.3.Lamun;Lamun;120.441.354;-5.609.166
3.5.4.Lamun;Lamun;120.441.356;-5.609.206
3.5.5.Lamun;Lamun;120.441.314;-5.609.203
3.5.6.Lamun;Lamun;120.441.277;-5.609.203
3.5.7.Lamun;Lamun;120.441.277;-5.609.243
3.5.8.Lamun;Lamun;120.441.316;-5.609.242
3.5.9.Lamun;Lamun;120.441.359;-5.609.242
4.1.1.Pasir;Pasir;120.439.410;-5.608.617
4.1.2.Pasir;Pasir;120.439.446;-5.608.614
4.1.3.Pasir;Pasir;120.439.514;-5.608.619
4.1.4.Pasir;Pasir;120.439.410;-5.608.648
4.1.5.Pasir;Pasir;120.439.452;-5.608.650
4.1.6.Pasir;Pasir;120.439.520;-5.608.655
4.1.7.Pasir;Pasir;120.439.406;-5.608.682
4.1.8.Pasir;Pasir;120.439.444;-5.608.682
4.1.9.Pasir;Pasir;120.439.514;-5.608.694
4.2.1.Lamun;Lamun;120.439.553;-5.609.165
4.2.2.Lamun;Lamun;120.439.596;-5.609.167
4.2.3.Lamun;Lamun;120.439.638;-5.609.168
4.2.4.Lamun;Lamun;120.439.638;-5.609.209
4.2.5.Lamun;Lamun;120.439.600;-5.609.210
4.2.6.Lamun;Lamun;120.439.553;-5.609.211
4.2.7.Lamun;Lamun;120.439.551;-5.609.249
4.2.8.Lamun;Lamun;120.439.600;-5.609.251
4.2.9.Lamun;Lamun;120.439.639;-5.609.252
4.3.1.Lamun;Lamun;120.439.569;-5.609.274
4.3.2.Lamun;Lamun;120.439.606;-5.609.274
4.3.3.Lamun;Lamun;120.439.648;-5.609.272
4.3.4.Lamun;Lamun;120.439.651;-5.609.316
